GDX,
XLB,
GUNR,
GDXJ,
LIT,
VAW,
ITB,
GNR,
XME,
XHB,
SIL,
MOO,
PICK,
COPX,
IYM,
REMX,
MXI,
NUGT,
SILJ,
INFL,
URA,
JNUG,
RING,
FMAT,
GRID,
GDX,
XLB,
GUNR,
GDXJ,
LIT,
VAW,
ITB,
GNR,
XME,
XHB,
SIL,
MOO,
PICK,
COPX,
IYM,
REMX,
MXI,
NUGT,
SILJ,
INFL,
URA,
JNUG,
RING,
FMAT,
GRID,
FTRI,
PSCM,
GRES,
GDXD,
JHMA,
FLM,
CHIM,
FTAG,
SMN,
JGLD,
SBM,
